ID,Title,Content,Excerpt,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,Brands,Product Type,Product categories,Product tags,Product shipping classes,Image URL,Images Filename,Images Path,Images ID,Images Title,Images Caption,Images Description,Images Alt Text,Attachment URL,Attachments Filename,Attachments Path,Attachments ID,Attachments Title,Attachments Caption,Attachments Description,Attachments Alt Text,Slug,Attribute Name (Packages),Attribute Value (Packages),Attribute In Variations (Packages),Attribute Is Visible (Packages),Attribute Is Taxonomy (Packages),Attribute Position (Packages),Visibility,Stock Status,Regular Price,Sale Price,Featured,Weight,Length,Width,Height,SKU,Price,Manage Stock,Stock,Tax Status,Tax Class,Default Attributes
5054,TOMATO KETCHUP PORTION HERMAN 10 GM,,,manually,236,,manually,108,,manually,469.57,,HERMAN,simple,Grocery &amp; Food Cupboard,"KETCHUP,TOMATO",,,,,,,,,,,,,,,,,,tomato-ketchup-portion-herman-10-gm,packages,,no,no,yes,,,instock,615,,no,,,,,DRTOM0002,615,no,,none,0,
5056,GARBAGE ROLL OXO BIO HOTPACK 4 ROLLS,,,manually,236,,manually,108,,manually,469.57,,HOTPACK,simple,Cleaning &amp; Household,"BAGS,GARBAGE,ROLLS",,,,,,,,,,,,,,,,,,garbage-roll-oxo-bio-hotpack-4-rolls,packages,,no,no,yes,,,instock,600,,no,,,,,AMBAG0169,600,no,,none,15,
5058,CAKE BOX 15 CM X 15 CM X 8 CM HOTPACK,,,manually,236,,manually,108,,manually,469.57,,HOTPACK,simple,Cleaning &amp; Household,PACKING,,,,,,,,,,https://shop.ewdc.in/wp-content/uploads/2021/03/,3,/home/shopewdc/public_html/wp-content/uploads/2021/03/,5060,Header promo banner - niche-market02,,<h2>Sale up to 50% off,,cake-box-15-cm-x-15-cm-x-8-cm-hotpack,packages,,no,no,yes,,,instock,500,,no,,,,,AMMSC1448,500,no,,none,15,
5061,CAKE BOX 30 CM X 30 CM X 120 CM HOTPACK,,,manually,236,,manually,108,,manually,469.57,,HOTPACK,simple,Cleaning &amp; Household,PACKING,,,,,,,,,,,,,,,,,,cake-box-30-cm-x-30-cm-x-120-cm-hotpack,packages,,no,no,yes,,,instock,1260,,no,,,,,AMMSC1449,1260,no,,none,15,
5063,"CAKE BOARD 12"" HOTPACK 50 PIECE",,,manually,236,,manually,108,,manually,469.57,,HOTPACK,simple,Cleaning &amp; Household,PACKING,,,,,,,,,,,,,,,,,,cake-board-12-hotpack-50-piece,packages,,no,no,yes,,,instock,410,,no,,,,,AMMSC1450,410,no,,none,15,
5065,"CAKE BOARD ROUND GOLD WITH HANDLE 12"" HOTPACK",,,manually,236,,manually,108,,manually,469.57,,HOTPACK,simple,Cleaning &amp; Household,PACKING,,,,,,,,,,,,,,,,,,cake-board-round-gold-with-handle-12-hotpack,packages,,no,no,yes,,,instock,355,,no,,,,,AMMSC1451,355,no,,none,15,
5067,"CAKE BOARD SQUARE GOLD WITH HANDLE 10"" HOTPACK",,,manually,236,,manually,108,,manually,469.57,,HOTPACK,simple,Cleaning &amp; Household,PACKING,,,,,,,,,,,,,,,,,,cake-board-square-gold-with-handle-10-hotpack,packages,,no,no,yes,,,instock,305,,no,,,,,AMMSC1452,305,no,,none,15,
5069,MICRO CONTAINER RECTANGLE 4 DIVISION WITH LID HOTPACK 150 PIECE,,,manually,236,,manually,108,,manually,469.57,,HOTPACK,simple,Cleaning &amp; Household,PACKING,,,,,,,,,,,,,,,,,,micro-container-rectangle-4-division-with-lid-hotpack-150-piece,packages,,no,no,yes,,,instock,1460,,no,,,,,AMMSC1458,1460,no,,none,15,
5071,PET ICE CREAM BOWL 10 OZ HOTPACK (1000 PIECE),,,manually,236,,manually,108,,manually,469.57,,HOTPACK,simple,Cleaning &amp; Household,PACKING,,,,,,,,,,,,,,,,,,pet-ice-cream-bowl-10-oz-hotpack-1000-piece,packages,,no,no,yes,,,instock,1635,,no,,,,,AMMSC1459,1635,no,,none,15,
5073,WAX PAPER(BAKING) 75 SQFT HOTPACK 12 ROLLS,,,manually,236,,manually,108,,manually,469.57,,HOTPACK,simple,Cleaning &amp; Household,PACKING,,,,,,,,,,,,,,,,,,wax-paperbaking-75-sqft-hotpack-12-rolls,packages,,no,no,yes,,,instock,575,,no,,,,,AMPAP0158,575,no,,none,15,
